['Eranin','','-22.85','36.60','-1.20',''],
['Asellus Primus','','-23.95','40.90','-1.34',''],
['LP 98-132','','-26.68','37.00','-4.59',''],
['I Bootis','','-22.38','34.90','4.00',''],
['Dahan','','-19.76','41.80','-3.19',''],
['Styx','','-24.31','37.74','6.04',''],
['LHS 3006','','-21.96','29.05','-1.71',''],
['Morgor','','-15.25','40.48','-2.25',''],
['Aulin','','-19.69','32.33','4.24',''],
['BD+47 2112','','-14.79','33.43','-0.41',''],
['Opala','','-25.50','35.26','9.29',''],
['LHS 2884','','-22.00','48.38','1.81',''],
['Nang Ta-Khian','','-18.21','26.50','-6.33',''],
['Acihaut','','-18.52','25.30','-4.00',''],
['Wyrd','','-11.64','31.55','-3.93',''],
['GD 319','','-19.37','43.63','-12.74',''],
['Meliae','','-17.32','49.54','-1.69',''],
['Rakapila','','-14.92','33.64','9.12',''],
['LHS 2819','','-30.51','38.55','-13.57',''],
['CM Draco','','-35.70','30.94','2.16',''],
['Aulis','','-16.48','44.17','-11.43',''],
['Ross 1051','','-37.21','44.49','-5.06',''],
['Lalande 29917','','-26.30','22.15','-4.56',''],
['DN Draconis','','-27.10','21.62','0.79',''],
['Bolg','','-7.90','34.71','2.12',''],
['LP 64-194','','-21.55','32.21','-16.21',''],
['Naraka','','-34.10','26.20','-5.52',''],
['Chi Herculis','','-30.75','39.71','12.77',''],
['DP Draconis','','-17.50','25.96','-11.36',''],
['LP 271-25','','-10.48','31.85','7.32',''],
['LFT 992','','-7.57','42.58','0.69',''],
['Ovid','','-28.06','35.14','14.82',''],
['Surya','','-38.48','39.24','5.42',''],
['LHS 5287','','-36.40','48.17','-0.79',''],
['Keries','','-18.92','27.21','12.60',''],
['LFT 880','','-22.81','31.40','-18.33',''],
['BD+55 1519','','-16.94','44.71','-16.58',''],
['Ross 1057','','-32.32','26.18','-12.43',''],
['H Draconis','','-39.85','29.55','-3.90',''],
['Ori','','-26.30','56.10','2.44',''],
['Pi-Fang','','-34.67','22.83','-4.40',''],
['LHS 6309','','-33.57','33.13','13.47',''],
['Aganippe','','-11.57','43.81','11.64',''],
['Ithaca','','-8.10','44.94','-9.27',''],
['Tilian','','-21.54','22.31','10.13',''],
['LHS 3262','','-24.12','18.85','4.92',''],
['Ross 1015','','-6.10','29.46','3.02',''],
['Magec','','-32.88','36.12','15.50',''],
['26 Draconis','','-39.00','24.92','-0.65',''],
['LFT 1361','','-38.79','24.72','-0.49',''],
['Hermitage','','-28.75','25.00','10.45',''],
['LHS 417','','-18.31','18.19','4.91',''],
['Wise 1647+5632','','-21.60','17.71','1.75',''],
['LP 275-68','','-23.35','25.06','15.20',''],
['LHS 2887','','-7.30','26.80','5.70','']
